X--Trace 1::[transient: TIME],Y--Trace 1::[Sum: V(4)],,X--Trace 2::[transient: TIME],Y--Trace 2::[2ndOrderFilter: V(17)],,X--Trace 3::[transient: TIME],Y--Trace 3::[Noise: V(1)],,X--Trace 4::[transient: TIME],Y--Trace 4::[4thOrderFilter: V(5)],,X--Trace 5::[transient: TIME],Y--Trace 5::[Clean: V(2)]
0,0,,0,0,,0,0,,0,-8.382772319164835e-7,,0,0
1e-8,-0.0028443101371509495,,1e-8,-7.835958405704057e-10,,1e-8,0.0032757466628708987,,1e-8,-8.378974792429068e-7,,1e-8,0.0009424777805737995
1.0143228172198337e-8,-0.002947501485815259,,1.0143228172198337e-8,-7.930093250749055e-10,,1.0143228172198337e-8,0.005728669907486252,,1.0143228172198337e-8,-8.378931358270484e-7,,1.0143228172198337e-8,0.0009559767171050289
1.0429684516595012e-8,-0.002161387628848228,,1.0429684516595012e-8,-8.087834093267902e-10,,1.0429684516595012e-8,-0.03327071084157976,,1.0429684516595012e-8,-8.378859628534808e-7,,1.0429684516595012e-8,0.0009829745901091475
1.100259720538836e-8,0.003603267231324687,,1.100259720538836e-8,-8.26974316603892e-10,,1.100259720538836e-8,-0.06889646219535935,,1.100259720538836e-8,-8.378722369892621e-7,,1.100259720538836e-8,0.0010369703358763733
1.1511672088151543e-8,0.008686007334002363,,1.1511672088151543e-8,-8.339819055125552e-10,,1.1511672088151543e-8,-0.03966578788105165,,1.1511672088151543e-8,-8.378520191619682e-7,,1.1511672088151543e-8,0.001084949510229945
1.19908310866911e-8,0.009873639380943084,,1.19908310866911e-8,-8.367873289001714e-10,,1.19908310866911e-8,-0.002461962921390481,,1.19908310866911e-8,-8.378260587498515e-7,,1.19908310866911e-8,0.0011301091788434839
1.2602532842745639e-8,0.0068556609087274045,,1.2602532842745639e-8,-8.377773438824947e-10,,1.2602532842745639e-8,0.03267542372472189,,1.2602532842745639e-8,-8.377992994953769e-7,,1.2602532842745639e-8,0.001187760706831002
1.299776727781931e-8,0.004926872548100692,,1.299776727781931e-8,-8.375526276479332e-10,,1.299776727781931e-8,-0.0028120713407912596,,1.299776727781931e-8,-8.37792184947306e-7,,1.299776727781931e-8,0.0012250106717491599
1.3538997474574773e-8,0.004588811131882205,,1.3538997474574773e-8,-8.367258568012268e-10,,1.3538997474574773e-8,-0.0032212353592641564,,1.3538997474574773e-8,-8.377937009710459e-7,,1.3538997474574773e-8,0.001276020411617801
1.3959001090103513e-8,0.007812810560544739,,1.3959001090103513e-8,-8.35826180991895e-10,,1.3959001090103513e-8,-0.09231404514609788,,1.3959001090103513e-8,-8.377966521876915e-7,,1.3959001090103513e-8,0.0013156048161156683
1.4313924415790137e-8,0.012931593361512407,,1.4313924415790137e-8,-8.349658130392909e-10,,1.4313924415790137e-8,-0.09722823339207722,,1.4313924415790137e-8,-8.377926965552217e-7,,1.4313924415790137e-8,0.0013490555481936305
1.4583959963430988e-8,0.01561317453739371,,1.4583959963430988e-8,-8.342616148909948e-10,,1.4583959963430988e-8,-0.04237623693763466,,1.4583959963430988e-8,-8.377847713274162e-7,,1.4583959963430988e-8,0.0013745057963518448
1.4965919554099255e-8,0.015676148237749106,,1.4965919554099255e-8,-8.332113279872667e-10,,1.4965919554099255e-8,0.011182891745610933,,1.4965919554099255e-8,-8.377683096321227e-7,,1.4965919554099255e-8,0.0014105046357939595
1.5367204867326927e-8,0.016829410244519737,,1.5367204867326927e-8,-8.320560323250885e-10,,1.5367204867326927e-8,-0.08152652831493006,,1.5367204867326927e-8,-8.377499028539958e-7,,1.5367204867326927e-8,0.0014483248812615203
1.5804753858707734e-8,0.0188361997678885,,1.5804753858707734e-8,-8.30746478247052e-10,,1.5804753858707734e-8,0.005139635061145115,,1.5804753858707734e-8,-8.377318168690292e-7,,1.5804753858707734e-8,0.0014895628972249088
1.6360180260410767e-8,0.016113363257252874,,1.6360180260410767e-8,-8.290200320125979e-10,,1.6360180260410767e-8,0.003939696274417491,,1.6360180260410767e-8,-8.377146825107511e-7,,1.6360180260410767e-8,0.0015419105956387658
1.6869214925124805e-8,0.015051708873068687,,1.6869214925124805e-8,-8.273806818224268e-10,,1.6869214925124805e-8,-0.019660100640149236,,1.6869214925124805e-8,-8.377088796361001e-7,,1.6869214925124805e-8,0.0015898859759954855
1.7453849274453118e-8,0.014837824107052621,,1.7453849274453118e-8,-8.254353616397892e-10,,1.7453849274453118e-8,-0.009385382496592517,,1.7453849274453118e-8,-8.377112505539945e-7,,1.7453849274453118e-8,0.0016449864572930489
1.8355759344467304e-8,0.015570712555537396,,1.8355759344467304e-8,-8.223099745810891e-10,,1.8355759344467304e-8,-0.033042221805704604,,1.8355759344467304e-8,-8.377169500060288e-7,,1.8355759344467304e-8,0.0017299894653473092
2.0159579484495677e-8,0.022893523712213204,,2.0159579484495677e-8,-8.15628049065971e-10,,2.0159579484495677e-8,-0.04834583604072369,,2.0159579484495677e-8,-8.37696702950102e-7,,2.0159579484495677e-8,0.0018999954772208993
2.1869962326868778e-8,0.030813450064233933,,2.1869962326868778e-8,-8.08783265732299e-10,,2.1869962326868778e-8,-0.05393851651386923,,2.1869962326868778e-8,-8.37637749715799e-7,,2.1869962326868778e-8,0.002061195227243834
2.3927077698384595e-8,0.026018488947014657,,2.3927077698384595e-8,-7.999324637555666e-10,,2.3927077698384595e-8,0.016286828974270834,,2.3927077698384595e-8,-8.376042141562984e-7,,2.3927077698384595e-8,0.0022550737332057546
2.550118003629385e-8,0.018560825350582438,,2.550118003629385e-8,-7.927266652849666e-10,,2.550118003629385e-8,-0.02072569547447511,,2.550118003629385e-8,-8.3764862416558e-7,,2.550118003629385e-8,0.0024034293386977117
2.7306747330287077e-8,0.010163157380740683,,2.7306747330287077e-8,-7.840256943005325e-10,,2.7306747330287077e-8,0.03267999255255572,,2.7306747330287077e-8,-8.377321739908028e-7,,2.7306747330287077e-8,0.0025735999885206314
3.014692417026404e-8,-0.011256116149390741,,3.014692417026404e-8,-7.694621154704366e-10,,3.014692417026404e-8,0.035531897787005155,,3.014692417026404e-8,-8.378975899960023e-7,,3.014692417026404e-8,0.0028412802402839957
3.1639703529184005e-8,0.0039187902221794295,,3.1639703529184005e-8,-7.614016035286052e-10,,3.1639703529184005e-8,-0.13538337608944956,,3.1639703529184005e-8,-8.379369936682847e-7,,3.1639703529184005e-8,0.002981971314031367
3.23352706247897e-8,0.010315318510916646,,3.23352706247897e-8,-7.57556825620037e-10,,3.23352706247897e-8,-0.05302017145118959,,3.23352706247897e-8,-8.379085766802898e-7,,3.23352706247897e-8,0.003047526935258147
3.325824037386905e-8,0.022256275885630665,,3.325824037386905e-8,-7.523704880466443e-10,,3.325824037386905e-8,-0.10375126182520875,,3.325824037386905e-8,-8.378350329903594e-7,,3.325824037386905e-8,0.003134514738577689
3.379462118186279e-8,0.024597580825634797,,3.379462118186279e-8,-7.493133653660731e-10,,3.379462118186279e-8,-0.03031633591453734,,3.379462118186279e-8,-8.377864271608777e-7,,3.379462118186279e-8,0.003185067410713991
3.4384597027085547e-8,0.017932554207848384,,3.4384597027085547e-8,-7.459149411759787e-10,,3.4384597027085547e-8,0.08203495139424967,,3.4384597027085547e-8,-8.377486195303283e-7,,3.4384597027085547e-8,0.003240671292260212
3.497226711865618e-8,0.006852321668954482,,3.497226711865618e-8,-7.424933791597761e-10,,3.497226711865618e-8,0.06709032351826368,,3.497226711865618e-8,-8.377453643989294e-7,,3.497226711865618e-8,0.00329605786066229
3.5351187058420796e-8,0.001516145081653211,,3.5351187058420796e-8,-7.402684263417633e-10,,3.5351187058420796e-8,0.052031182428302396,,3.5351187058420796e-8,-8.377663413770259e-7,,3.5351187058420796e-8,0.003331770201845407
3.5729872118380605e-8,-0.004690098451792415,,3.5729872118380605e-8,-7.380304222210221e-10,,3.5729872118380605e-8,0.10658348361440964,,3.5729872118380605e-8,-8.378003389297509e-7,,3.5729872118380605e-8,0.0033674604056702544
3.607283700282533e-8,-0.009760814963320515,,3.607283700282533e-8,-7.359913190776764e-10,,3.607283700282533e-8,0.0367542979665089,,3.607283700282533e-8,-8.378383029062592e-7,,3.607283700282533e-8,0.0033997840639529413
3.6662681257857644e-8,-0.01236559243941554,,3.6662681257857644e-8,-7.324572816992954e-10,,3.6662681257857644e-8,0.020072725254140653,,3.6662681257857644e-8,-8.379063022474528e-7,,3.6662681257857644e-8,0.0034553755390196207
